title, url, taxonomy, publish_date, modified_date,
Vers des fonctions S&#038;OP de nouvelle génération réellement connectées,https://www.anaplan.com/fr/papiers/vers-des-fonctions-sop-de-nouvelle-generation-reellement-connectees/,"[Articles livres blancs,Supply chain]",2018-09-25T11:36:26+00:00,2018-09-25T11:36:33+00:00,
Favoriser la collaboration entre Supply Chain et Finances : une approche bénéfique pour toute l’entreprise,https://www.anaplan.com/fr/papiers/favoriser-collaboration-entre-supply-chain-finances-approche-benefique-toute-entreprise/,"[Articles livres blancs,Finance,Supply chain]",2018-09-20T14:25:57+00:00,2018-09-25T10:20:56+00:00,
Être prêt pour IFRS 16 : Témoignage client d&#8217;IMERYS,https://www.anaplan.com/fr/webinars/etre-pret-pour-ifrs-16-temoignage-client-dimerys/,"[Finance,Webinars]",2018-05-06T09:41:15+00:00,2018-05-11T14:21:22+00:00,
Joining the Dots: How connected planning will transform banking,https://www.anaplan.com/fr/papiers/how-connected-planning-will-transform-banking/,"[Articles livres blancs,Finance]",2018-05-06T09:41:15+00:00,2018-05-11T15:33:10+00:00,
Gartner classe Anaplan parmi les « Leaders »,https://www.anaplan.com/fr/papiers/gartner-anaplan-leaders-2017-magic-quadrant/,"[Articles livres blancs,Finance]",2018-05-06T09:41:15+00:00,2018-05-11T15:43:54+00:00,
Anaplan pour la planification, la budgétisation et la prévision,https://www.anaplan.com/fr/papiers/anaplan-pour-la-planification-la-budgetisation-et-la-prevision/,"[Articles livres blancs,Finance]",2018-05-06T09:41:15+00:00,2018-05-11T15:38:27+00:00
Cas clients : 4 valeurs clés perçues par les utilisateurs d&#8217;Anaplan,https://www.anaplan.com/fr/webinars/cas-clients-4-valeurs-cles-percues-utilisateurs-anaplan/,"[Finance,Webinars]",2018-05-06T09:41:14+00:00,2018-05-11T14:27:36+00:00,
Quels sont les principaux défis de l’industrie bancaire ?,https://www.anaplan.com/fr/webinars/quels-sont-les-principaux-defis-de-lindustrie-bancaire/,"[Finance,Webinars]",2018-05-06T09:41:15+00:00,2018-05-06T15:59:02+00:00,
Transformer les contrôleurs de gestion,https://www.anaplan.com/fr/webinars/transformer-controleurs-gestion-veritables-business-partners-4-etapes/,"[Finance,Webinars]",2018-05-06T09:41:14+00:00,2018-05-11T15:14:45+00:00,
La Direction Financière, véritable soutien et support des différents métiers opérationnels.,https://www.anaplan.com/fr/videos/maison-du-monde/,"[Customer story,Finance,Vidéos]",2018-05-06T09:41:14+00:00,2018-05-06T14:38:49+00:00
