title, url, taxonomy, publish_date, modified_date,
Anaplan zum Anfassen – mit Woodmark,https://www.anaplan.com/de/events/anaplan-zum-anfassen-connected-planning-mit-anaplan-und-woodmark/,"[Der Umsatz,Finanzen,Lieferkette,Veranstaltungen]",2018-09-17T19:49:59+00:00,2018-09-19T17:43:08+00:00,
Anaplan für Ihre Personalplanung,https://www.anaplan.com/de/resource/papers/anaplan-fur-ihre-personalplanung/,[],2017-02-09T16:29:26+00:00,2018-07-05T16:33:14+00:00,
Ihr ROI beim Kauf einer Planungslösung,https://www.anaplan.com/de/resources/papers/forrester-tei/,[Papiere],2017-10-09T17:36:29+00:00,2018-08-28T18:04:29+00:00,
Leader im Bereich Sales Performance Management,https://www.anaplan.com/de/resources/papers/de-gartner-spm-mq/,[Papiere],2017-07-10T17:12:36+00:00,2018-08-28T18:05:03+00:00,
KPIs in 30 Minuten statt in einer Woche.,https://www.anaplan.com/de/resources/case-studies/legal-and-general/,"[Fallstudien,Videospiele]",2017-06-15T21:30:51+00:00,2018-08-28T18:05:25+00:00,
Corporate Tax Reporting,https://www.anaplan.com/de/corporate-tax-reporting/,[],2017-06-15T18:51:31+00:00,2017-06-15T18:51:31+00:00,
Statistical forecasting,https://www.anaplan.com/de/statistical-forecasting/,[],2017-06-15T18:22:23+00:00,2017-06-15T18:44:08+00:00,
Barc survey infographic,https://www.anaplan.com/de/resources/papers/barc-survey-infographic/,[Infografik],2017-03-21T01:32:30+00:00,2017-03-23T17:54:30+00:00,
Anaplan S&#038;OP Planning,https://www.anaplan.com/de/resources/papers/anaplan-sop-planning-datasheet/,"[Datenblätter,Papiere]",2017-02-24T22:35:08+00:00,2017-05-17T18:39:09+00:00,
Wie entscheidend ist die Absatzplanung für Ihren Vertriebserfolg?,https://www.anaplan.com/de/resources/papers/sales-infographic/,[Papiere],2017-02-24T22:25:37+00:00,2018-02-26T23:26:08+00:00,
HR Datasheet,https://www.anaplan.com/de/resources/datasheets/hr-datasheet/,[Datenblätter],2017-02-24T22:02:36+00:00,2017-03-23T17:57:30+00:00,
Anaplan für Ihre Marketingplanung,https://www.anaplan.com/de/resources/datasheets/marketing-resource-management/,[Datenblätter],2017-02-24T22:00:07+00:00,2018-08-28T18:10:58+00:00,
